window_size,payload_size,run_id,seed,goodput,goodput_mbps,efficiency,utilization,retransmissions,retransmission_rate,frame_error_rate,total_time,rtt_mean,rtt_min,rtt_max,buffer_full_events,backpressure_events,data_valid,complete,error
2,4096,0,6138,0.0,0.0,0.0,0.09788569980630724,20,10.0,1.0,0.7450976000000001,0.05731520000000001,0.057315200000000004,0.05731520000000004,0,0,False,False,
2,4096,1,16138,0.0,0.0,0.0,0.09788569980630724,20,10.0,1.0,0.7450976000000001,0.05731520000000001,0.057315200000000004,0.05731520000000002,0,0,False,False,
2,4096,2,26138,0.0,0.0,0.0,0.10604284145683285,20,10.0,1.0,0.6877824000000001,0.05731520000000001,0.057315200000000004,0.05731520000000002,0,0,False,False,
2,4096,3,36138,0.0,0.0,0.0,0.10604284145683285,20,10.0,1.0,0.6877824000000001,0.05731520000000001,0.057315200000000004,0.05731520000000002,0,0,False,False,
2,4096,4,46138,0.0,0.0,0.0,0.10604284145683285,20,10.0,1.0,0.6877824000000001,0.05731520000000001,0.057315200000000004,0.05731520000000002,0,0,False,False,
2,4096,5,56138,0.0,0.0,0.0,0.09788569980630724,20,10.0,1.0,0.7450976000000001,0.05731520000000001,0.057315200000000004,0.05731520000000002,0,0,False,False,
2,4096,6,66138,0.0,0.0,0.0,0.10604284145683285,20,10.0,1.0,0.6877824000000001,0.05731520000000001,0.057315200000000004,0.05731520000000002,0,0,False,False,
2,4096,7,76138,0.0,0.0,0.0,0.09788569980630724,20,10.0,1.0,0.7450976000000001,0.05731520000000001,0.057315200000000004,0.05731520000000004,0,0,False,False,
2,4096,8,86138,0.0,0.0,0.0,0.10604284145683285,20,10.0,1.0,0.6877824000000001,0.05731520000000001,0.057315200000000004,0.05731520000000002,0,0,False,False,
2,4096,9,96138,0.0,0.0,0.0,0.10604284145683285,20,10.0,1.0,0.6877824000000001,0.05731520000000001,0.057315200000000004,0.05731520000000002,0,0,False,False,
4,128,0,4170,5312.822297383916,0.04250257837907132,0.5369577984730263,0.007915441120314861,115,0.2693208430913349,0.1992619926199262,9.637062399999971,0.05414074007490619,0.054108799999999846,0.05414080000000032,0,0,True,True,
4,128,1,14170,5167.663218220422,0.041341305745763376,0.5359685118499288,0.007713383311096258,116,0.2716627634660422,0.1841620626151013,9.907766399999968,0.05414073916349789,0.054108799999999846,0.05414080000000032,0,0,True,True,
4,128,2,24170,5498.15330775777,0.043985226462062155,0.5439864003399915,0.008085721708221269,108,0.2529274004683841,0.18878504672897195,9.312217599999979,0.054140739163497965,0.054108799999999846,0.05414080000000032,0,0,True,True,
4,128,3,34170,5283.141725890149,0.04226513380712119,0.5452376895552905,0.0077516896973123224,107,0.2505854800936768,0.1760299625468165,9.691203199999974,0.05414067620889733,0.054108799999999846,0.05414080000000032,0,0,True,True,
4,128,4,44170,5167.679908738788,0.0413414392699103,0.5320475517499377,0.007770252702777361,120,0.2810304449648712,0.20292504570383912,9.90773439999997,0.05414073984962385,0.054108799999999846,0.05414080000000032,0,0,True,True,
4,128,5,54170,5057.124967563303,0.04045699974050642,0.5253221702372158,0.007701369184977964,127,0.297423887587822,0.19855595667870035,10.124329599999964,0.05414073996247632,0.054108799999999846,0.05414080000000032,0,0,True,True,
4,128,6,64170,4977.2756259702,0.0398182050077616,0.521554885502404,0.007634518650785039,131,0.30679156908665106,0.21505376344086022,10.286751999999959,0.05414074095940935,0.054108799999999846,0.05414080000000032,0,0,True,True,
4,128,7,74170,4899.908647328174,0.039199269178625394,0.5187646915781795,0.0075562716227609615,134,0.31381733021077285,0.20499108734402852,10.449174399999961,0.05414074052044585,0.054108799999999846,0.05414080000000032,0,0,True,True,
4,128,8,84170,5003.610417641996,0.04002888334113597,0.5361930294906166,0.0074653867431218575,116,0.2716627634660422,0.18047882136279927,10.232611199999967,0.05414073846153824,0.054108799999999846,0.05414080000000032,0,0,True,True,
4,128,9,94170,4874.651386259473,0.038997211090075784,0.5196914332115307,0.007503916477723176,133,0.3114754098360656,0.18571428571428572,10.50331519999996,0.05414073973634626,0.054108799999999846,0.05414080000000032,0,0,True,True,
4,256,0,4298,7674.085428878241,0.06139268343102593,0.5004300570803034,0.012267984818740479,130,0.6280193236714976,0.37388724035608306,6.671804800000012,0.054242869300911954,0.054134399999999694,0.05424320000000016,0,0,True,True,
4,256,1,14298,8659.606561600367,0.06927685249280294,0.542326921447335,0.01277400212918074,104,0.5024154589371981,0.2990353697749196,5.91250880000001,0.05424283612040142,0.054134399999999694,0.05424320000000016,0,0,True,True,
4,256,2,24298,8427.652814414643,0.06742122251531714,0.5405861981586283,0.01247187270873187,105,0.5072463768115942,0.3301282051282051,6.075238400000011,0.05424284327868863,0.054134399999999694,0.05424320000000016,0,0,True,True,
4,256,3,34298,7551.17692171552,0.06040941537372416,0.5254084229537804,0.011497610760427093,114,0.5507246376811594,0.3302180685358255,6.780400000000012,0.05424285128205138,0.054134399999999694,0.05424320000000016,0,0,True,True,
4,256,4,44298,7865.809293453668,0.06292647434762934,0.4888108149392805,0.012873380134898608,138,0.6666666666666666,0.3739130434782609,6.50918400000001,0.05424287425149711,0.054134399999999694,0.05424320000000016,0,0,True,True,
4,256,5,54298,7551.176921715521,0.060409415373724164,0.5237744496276291,0.011533478850805244,115,0.5555555555555556,0.33229813664596275,6.780400000000011,0.05424285016077181,0.054134399999999694,0.05424320000000016,0,0,True,True,
4,256,6,64298,8067.49671123453,0.06453997368987624,0.5173389378384933,0.012475375226835297,119,0.5748792270531401,0.34049079754601225,6.3464544000000105,0.05424285678233448,0.054134399999999694,0.05424320000000016,0,0,True,True,
4,256,7,74298,7999.128095037628,0.06399302476030103,0.5311203319502075,0.012048686693150427,111,0.5362318840579711,0.3270440251572327,6.400697600000011,0.054242488888888975,0.054134399999999694,0.05424320000000016,0,0,True,True,
4,256,8,84298,7800.802605078016,0.06240642084062413,0.5205368035786905,0.011988858503679277,117,0.5652173913043478,0.32098765432098764,6.563427200000011,0.05424284675324685,0.054134399999999694,0.05424320000000016,0,0,True,True,
4,256,9,94298,8427.652814414643,0.06742122251531714,0.5388566136229688,0.01251190405960034,106,0.5120772946859904,0.31309904153354634,6.075238400000011,0.054242838538206085,0.054134399999999694,0.05424320000000016,0,0,True,True,
